site,date,flue_pred
AR-Vir,2010-02-09,0.7128761624917388
AR-Vir,2010-02-11,1.023264455725439
AR-Vir,2010-02-26,0.9683136561652645
AR-Vir,2010-03-06,0.3239112545270473
AR-Vir,2010-03-11,0.9190636540297419
AR-Vir,2010-03-21,0.9453478243667632
AR-Vir,2010-03-26,1.2711761448299512
AR-Vir,2010-03-27,1.45139046641998
AR-Vir,2010-04-01,1.3095266403397545
AR-Vir,2010-04-03,0.9675652957521379
AR-Vir,2010-04-05,0.23761581012513489
AR-Vir,2010-04-11,0.22403527807909995
AR-Vir,2010-04-15,0.21137380599975586
AR-Vir,2010-04-26,0.5015371997142211
AR-Vir,2010-04-28,0.6738716986728832
AR-Vir,2010-05-08,1.1374665156472474
AR-Vir,2010-05-22,0.036024402477778494
AR-Vir,2010-05-23,0.5174662460340187
AR-Vir,2010-05-25,1.2208367980783805
AR-Vir,2010-05-28,1.337113400339149
AR-Vir,2010-05-30,0.4861493012867868
AR-Vir,2010-06-01,1.2994109391001984
AR-Vir,2010-06-10,0.8282584795961156
AR-Vir,2010-06-11,1.109881738317199
AR-Vir,2010-06-12,1.0169868897646666
AR-Vir,2010-06-15,0.07081491756252944
AR-Vir,2010-06-23,0.4147347545949742
AR-Vir,2010-06-24,1.083712376654148
AR-Vir,2010-06-26,1.0154002489289269
AR-Vir,2010-06-27,0.46453363623004407
AR-Vir,2010-06-28,0.5982649584766477
AR-Vir,2010-07-02,0.8335392486769706
AR-Vir,2010-07-05,1.2400393869029358
AR-Vir,2010-07-06,0.15533350710757077
AR-Vir,2010-07-13,0.8971820591250435
AR-Vir,2010-07-14,0.3571447500726208
AR-Vir,2010-07-15,1.1479064309969544
AR-Vir,2010-07-27,0.699577268329449
AR-Vir,2010-07-29,0.580246934783645
AR-Vir,2010-08-06,0.5415097090881318
AR-Vir,2010-08-14,0.07625420100521296
AR-Vir,2010-09-25,1.3765634380979463
AR-Vir,2010-09-29,0.1863795176614076
AR-Vir,2010-09-30,0.7389037777902558
AR-Vir,2010-10-06,1.2634248957037926
AR-Vir,2010-10-13,0.0991113802883774
AR-Vir,2010-10-19,1.466181569849141
AR-Vir,2010-11-06,0.7363738574786112
AR-Vir,2010-11-13,1.4959737989120185
AR-Vir,2010-11-17,0.6500724409706891
AR-Vir,2010-11-25,0.41938366752583534
AR-Vir,2010-11-26,1.2419914609054103
AR-Vir,2010-11-30,0.8520307122962549
AR-Vir,2010-12-04,1.2820735867135227
AR-Vir,2010-12-15,1.4811259405687451
AR-Vir,2010-12-17,0.40127080434467643
AR-Vir,2010-12-22,0.3773814352462068
AR-Vir,2010-12-30,1.145464135799557
AR-Vir,2011-01-03,0.5732996991137043
AR-Vir,2011-01-04,1.3906834004446864
AR-Vir,2011-01-09,0.5144616512116045
AR-Vir,2011-01-12,1.4475915626389906
