site,date,flue_pred
AR-Vir,2010-02-09,0.9215715116258443
AR-Vir,2010-02-11,0.9148216759424224
AR-Vir,2010-02-26,0.9486616184098474
AR-Vir,2010-03-06,0.8914502754368009
AR-Vir,2010-03-11,0.9029907423339142
AR-Vir,2010-03-21,0.9210600961765373
AR-Vir,2010-03-26,0.9618271416309422
AR-Vir,2010-03-27,0.9573304771398689
AR-Vir,2010-04-01,0.9672640019021621
AR-Vir,2010-04-03,0.9714272500760618
AR-Vir,2010-04-05,0.9817864581635848
AR-Vir,2010-04-11,0.9726586795493984
AR-Vir,2010-04-15,0.9992339537756294
AR-Vir,2010-04-26,0.9680649005595566
AR-Vir,2010-04-28,0.9937287810042655
AR-Vir,2010-05-08,0.9747806356193232
AR-Vir,2010-05-22,0.9266914340496327
AR-Vir,2010-05-23,0.9288312038877166
AR-Vir,2010-05-25,0.9378279235331392
AR-Vir,2010-05-28,0.9754458319894366
AR-Vir,2010-05-30,0.9860939159120042
AR-Vir,2010-06-01,0.9990759646388601
AR-Vir,2010-06-10,0.9883509809267831
AR-Vir,2010-06-11,0.9929566859758089
AR-Vir,2010-06-12,0.9889417467786745
AR-Vir,2010-06-15,0.9605655521163586
AR-Vir,2010-06-23,0.9420611935257721
AR-Vir,2010-06-24,0.9257091762184051
AR-Vir,2010-06-26,0.9794412107473051
AR-Vir,2010-06-27,0.9799971216240199
AR-Vir,2010-06-28,0.9905403080859685
AR-Vir,2010-07-02,0.98108238248433155
AR-Vir,2010-07-05,0.9700228888791492
AR-Vir,2010-07-06,0.9643762988121828
AR-Vir,2010-07-13,0.9971904265689872
AR-Vir,2010-07-14,1.0052447314081783
AR-Vir,2010-07-15,0.9958214207954637
AR-Vir,2010-07-27,0.9918867859087821
AR-Vir,2010-07-29,0.9723049717308093
AR-Vir,2010-08-06,0.9826276578851325
AR-Vir,2010-08-14,0.9628283788081713
AR-Vir,2010-09-25,0.9586868340807319
AR-Vir,2010-09-29,0.9722646976694133
AR-Vir,2010-09-30,0.9849500533674231
AR-Vir,2010-10-06,0.959023376138002
AR-Vir,2010-10-13,0.9588487692429241
AR-Vir,2010-10-19,0.9717076662744707
AR-Vir,2010-11-06,0.9406607862533315
AR-Vir,2010-11-13,0.903621739364056
AR-Vir,2010-11-17,0.8765964013439844
AR-Vir,2010-11-25,0.9282917843674102
AR-Vir,2010-11-26,0.9038796631046327
AR-Vir,2010-11-30,0.9089605322856118
AR-Vir,2010-12-04,0.9646013616653145
AR-Vir,2010-12-15,0.9300788809787522
AR-Vir,2010-12-17,0.9421321445830431
AR-Vir,2010-12-22,0.9640627293426439
AR-Vir,2010-12-30,0.9247631291142875
AR-Vir,2011-01-03,0.9027078203825765
AR-Vir,2011-01-04,0.951149901252881
AR-Vir,2011-01-09,0.9532015667347263
AR-Vir,2011-01-12,0.9208259820976674
AR-Vir,2011-01-28,0.9129726896838323
AR-Vir,2011-02-02,0.8888773845549299
AR-Vir,2011-02-03,0.9024458522983768
AR-Vir,2011-02-11,0.9203441337794406
AR-Vir,2011-02-16,0.9435727889041429
AR-Vir,2011-02-24,0.9638545572350464
AR-Vir,2011-05-01,0.9825658590200723
AR-Vir,2011-05-11,0.9474771230437649
AR-Vir,2011-05-17,0.9748462880495934
AR-Vir,2011-05-25,0.9431607836672242
AR-Vir,2011-06-09,0.9893655957629003
AR-Vir,2011-06-10,0.9906691971735798
AR-Vir,2011-06-11,0.9784508892001716
AR-Vir,2011-06-19,0.9553281606339887
